startdate,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2016-08-05,0.4568846730608622,,0.44089728450638765,0.4425263620592892,,0.5068615098652732,0.5577938422358132,,,0.5012640011495058,0.4659506982820225,,0.35937796874656397,,0.38860403985245817,0.5081440217724152,0.4249292888073472,0.4761247417525234,0.43012153500477607,0.47871385650890935,0.6209054418209322,0.6204636865879246,0.493368631000567,0.5379962534021985,0.3985867303073373,0.4994799108800805,,0.5081490897024015,0.500170091046543,0.4774704944200745,0.567085423388895,,,0.4989237709478746,,,0.3573345322082308,0.5371980867902449,,,0.4906890227685377,,0.4404766909249842,,0.45228909224040886,,0.5233988665991626,0.5588709428439459,0.44608024112139405,0.49349686012543365,
2016-08-09,0.36160715535715166,0.4266674958682444,0.46786404498268513,0.432014433843575,0.6039418884243278,0.5108514969368545,0.5440808838596161,0.5398640423713054,,0.49254127719672014,0.4757717538688648,0.632838437937549,0.35436587423914695,0.563789912527826,0.3844128479368729,0.48037755089695183,0.3986168080457691,0.35139928760441697,0.39224569923855546,0.4962865576737725,0.6340416109849153,0.5889680746070123,0.5185424458092648,0.5215162153036882,0.4681455480642019,0.4271952728776082,0.4009962475882614,0.4181999639648013,0.4979017819712284,0.5141119460066129,0.56381505533386,0.531008110155449,0.5926116811220848,0.47601632726971355,0.3330008807436036,0.46251211659552,0.34053729090157087,0.5661124388477444,0.4983579261032987,0.5258665923720593,0.4586247073213959,0.39107643142671694,0.36980921078557244,0.4811240439242149,0.4244780687712966,0.6119578531490579,0.5403664010681138,0.5794296243960072,0.35572437241655064,0.4915631489586674,0.2707884544352301
2016-08-10,0.2938448830637354,0.5035675962432582,0.5089182741183089,0.37766960431160634,0.5898566606600437,0.5366980554495017,0.571889737070673,0.4975013509253885,0.5930435820108424,0.49083491444383476,0.4374031730503982,0.6454060487705204,0.3840485106826869,0.5481707366628612,0.4605686801841078,0.5412834525425282,0.5131539724904076,0.4764597800553297,0.37996501852601394,0.6526060305030911,0.6435062128847363,0.6423987523546228,0.5326415502282487,0.5731633073499888,0.282432789258233,0.5449201260642121,0.46516656081182867,0.4992446051791104,0.46113687957256744,0.5953583234124628,0.5627680362280872,0.5536219458759896,0.5740234230893565,0.4747804369948178,0.35675604299537306,0.45787688102362356,0.41325302214894677,0.5915455660198785,0.5411143498578955,0.5255697143687673,0.43316269580882844,0.4175118528238855,0.3849214633329004,0.43253558613299403,0.44513111925606347,0.7706357152207399,0.5704609306760425,0.5743389691374688,0.461300706083647,0.5980888239120429,0.3663158533179982
2016-08-12,0.4265218734252403,,0.474342749556295,0.46183757463308,0.6917394574937602,0.5263498518731039,0.5355392476512038,,,0.5298470002995566,0.4747398401180498,,0.31567236909779134,0.6401782776620973,0.36989972302348173,0.4730736747436047,0.40404164780626434,0.46597648645378936,0.3885496887179998,0.49277417225300874,0.608321802969421,0.5720896822749563,0.4868435256854013,0.544933197382198,0.33761431896244526,0.4529172429346548,,0.4494686295082964,0.5407073976161904,0.48424586100766415,0.5752689072104643,,0.6202732734390172,0.5119038707434042,,0.5263886863264376,0.4201498368755665,0.5204539778138949,0.49178322993289364,,0.4768424511514131,,0.4086414671708057,0.42719754781830416,0.4828290315625124,,0.5538294013697779,0.5887184178366193,0.40046047581927596,0.46792559948201357,
2016-08-17,0.27724399709494724,0.43766962112382074,0.5192803375786151,0.4170698283669212,0.5636913062785408,0.5876682261837494,0.5861168511005027,0.5703414971026822,0.6551774738194877,0.46095695061275904,0.4403812798364297,0.609176577970865,0.42239646826184357,0.5281832264032574,0.46384590996324615,0.5105630169328451,0.5655037483464639,0.4626619495961659,0.3176601549036646,0.5308476231418129,0.5937189420424466,0.6438638077156642,0.4896712578132869,0.5615488166982107,0.3265047533919801,0.49328319203916643,0.5345265878820107,0.401376758860934,0.4241877667200096,0.5761605426886396,0.5235783156752366,0.5854958075680173,0.5557295525397844,0.4628665660913014,0.3545639943912109,0.49305360058315717,0.3819416767741372,0.5639650695127032,0.5129859455232589,0.6433506136576529,0.41485619508237104,0.5363166551202943,0.3751144877508679,0.4556617701662831,0.41552865742050454,0.7006168868472753,0.5322918619524626,0.5969231674933647,0.3700038580838227,0.5684719329661366,0.39729581505885897
2016-08-19,0.45080575390400995,,0.4742818620604638,0.44863642586402225,0.6954466082991058,,0.525248325688553,0.6502949155959031,,0.509499748507488,0.46045155250762065,,0.34346159169300683,0.6548978778908182,0.35694290175801435,0.4784843676292472,0.4185330025755858,0.4053834165248438,0.35395885845941494,0.6046446664659336,,0.5890779313337587,0.486647132690133,0.5513430249141544,0.3747966325362435,0.44320057157212744,0.3204076893915817,0.3269224143334257,0.5099887178175463,0.5702188307071375,0.5571303090202347,0.48863161459508947,0.6174839787240208,0.5210029167589553,,0.5285591958653715,0.3807102193976993,0.5638819252773861,0.5271786022364462,,0.4718137535012268,,0.38386800073198374,0.4067280455248941,0.3769612809375526,,0.5680799162431337,0.5523847506972307,0.4165926086871961,0.4876073589262089,
2016-08-24,0.27406587528726184,0.49862809207928843,0.5190342198714907,0.43289718658340953,0.5920546418366116,0.5831137860390769,0.5801252611601216,0.5050608990094934,0.5948665703448435,0.4395721398246973,0.3868828480510474,0.5968900144857572,0.4209658960225618,0.5277018583012293,0.5159225659792004,0.49465817687882835,0.5886911720217073,0.5151157578345483,0.34657105471956373,0.6696438598758436,0.614938988967476,0.6287248683261311,0.5183605204621746,0.5737258717591552,0.36502959634834237,0.5160593539705278,0.48409189552195614,0.4547693525632914,0.49350768925683575,0.5608181000794751,0.5426050208847527,0.5398701767076686,0.5571025320508003,0.4710622991226618,0.334392852088371,0.45559949520091253,0.44029548761488596,0.5726327485617873,0.49682256267257846,0.6107124982699824,0.43683783018211225,0.42685167301405663,0.3921452157445779,0.47232944162256757,0.47488346377607144,0.675148667293571,0.5269690327063549,0.5697800036373478,0.3208280519142978,0.5649862341818116,0.35961688190435054
2016-08-26,0.4276681689842579,,0.4665674478796337,0.4423336829528866,0.7112081188455166,0.47715006066969945,0.5514711094143324,0.600373582475524,,0.5133439431059699,0.43454318576295076,,0.35723289567155,0.5692885616772111,0.3570328839138639,0.445867441571593,0.4345378086600749,0.3923343454531878,0.38476567299757275,0.5018842542475629,0.6385622064319473,0.6321762830906837,0.5027667161428538,0.5635969194267467,0.41866358435155987,0.42258628503118345,0.4204958426173195,0.37775158850284235,0.47041546714260724,0.538145775568264,,0.4585744330680659,0.6267692203568479,0.5005438933298333,,0.4966742435399419,0.3695868332293126,0.5135872937239662,0.5274217414405842,,0.45887674366236747,,0.36165729073302333,0.38987726215504903,0.3699859122615578,,0.5701379341991798,0.5420490849804733,0.43620907905924905,0.508747126171419,
2016-08-31,0.30920225529495315,0.3271627046170244,0.4938770493125431,0.45557288847061495,0.5849891939397479,0.5448426131166975,0.5652807924710991,0.5321583821897545,0.6395963587188712,0.4437724946409616,0.44326459926406825,0.5981162801862491,0.42001701340457887,0.5268251850833238,0.4532020122351537,0.5016420805399238,0.5063814029902435,0.4314376489649417,0.3478761744073627,0.5458102179456418,0.6268754913966428,0.6048339247165964,0.5283450343619914,0.5407088385964227,0.3578886028591597,0.5179042134441314,0.47651481336699336,0.4129474886465381,0.49784735233106275,0.5854621837895229,0.5087240696568748,0.47272990350637517,0.543237941124663,0.44130796469577377,0.36663259344494675,0.4527718666010563,0.4089941127710008,0.5534597078059159,0.4831890778957364,0.5973611171466519,0.43628241045573096,0.4963374422365588,0.4209118378939966,0.4405138532253816,0.4314272401203085,0.696663227944395,0.5336040786384082,0.5861296912785968,0.3343966054553211,0.5597967698825885,0.35098823372907734
2016-09-02,0.42295812683371886,,0.4571285871860303,0.4521042868304414,0.6425563314943156,0.47702459759959925,0.5714892880032272,0.5442320785445919,,0.4941722182418695,0.4521653397212105,,0.3649719592701784,0.5978383601502912,0.379302591721484,0.4404376890091699,0.4088722163867829,,0.4062995493575365,0.5316629425164964,0.6410981030569992,0.6235384360866774,0.4946836466789297,0.5608229853615613,0.4277114565371394,0.39697794929394253,0.39706136580856516,0.3583717135617364,0.4965705821697391,0.5810352880477896,0.5586298967007292,0.5527251552502913,0.6246065052693585,0.5110403905459193,,0.5056313843259449,0.3430799336220969,0.5788696742299186,0.5213906243896148,0.5205884979972655,0.46097445683164917,0.3472501885441446,0.3450279445167727,0.386119240107796,0.39034329816374447,0.639666878922455,,0.5538862160482975,0.3973153744250886,0.5150750537461695,
